iter	Passed	Remaining
0	138	138605
1	142	71062
2	145	48489
3	149	37259
4	153	30526
5	156	25996
6	159	22587
7	161	20055
8	163	17993
9	165	16374
10	166	15005
11	168	13865
12	169	12895
13	171	12053
14	172	11326
15	173	10689
16	175	10121
17	176	9620
18	177	9163
19	178	8746
20	179	8374
21	180	8035
22	181	7723
23	182	7429
24	183	7159
25	184	6911
26	185	6682
27	186	6470
28	187	6277
29	188	6091
30	189	5918
31	190	5756
32	191	5607
33	192	5468
34	193	5333
35	194	5210
36	195	5093
37	196	4980
38	197	4873
39	198	4770
40	199	4673
41	200	4583
42	202	4497
43	203	4413
44	204	4334
45	205	4270
46	207	4200
47	208	4138
48	209	4074
49	211	4010
50	212	3952
51	213	3898
52	214	3839
53	215	3782
54	217	3729
55	218	3675
56	219	3623
57	220	3574
58	221	3525
59	221	3477
60	223	3438
61	224	3400
62	226	3363
63	227	3325
64	228	3289
65	229	3249
66	230	3209
67	230	3165
68	231	3128
69	232	3091
70	233	3058
71	234	3028
72	236	3000
73	237	2971
74	238	2943
75	240	2918
76	241	2890
77	241	2860
78	242	2832
79	244	2806
80	245	2780
81	246	2754
82	247	2731
83	248	2709
84	249	2683
85	250	2662
86	251	2639
87	252	2618
88	253	2596
89	254	2574
90	255	2553
91	256	2533
92	257	2513
93	258	2493
94	259	2475
95	261	2459
96	262	2443
97	263	2429
98	265	2412
99	266	2394
100	267	2378
101	267	2357
102	268	2339
103	269	2323
104	270	2307
105	271	2293
106	273	2281
107	274	2268
108	275	2254
109	276	2240
110	278	2226
111	279	2212
112	280	2198
113	281	2184
114	282	2171
115	283	2157
116	284	2145
117	285	2133
118	286	2120
119	287	2110
120	288	2099
121	290	2087
122	290	2071
123	291	2059
124	292	2048
125	293	2037
126	294	2025
127	295	2011
128	296	2001
129	297	1992
130	299	1983
131	300	1975
132	301	1964
133	302	1954
134	303	1943
135	304	1933
136	305	1925
137	306	1914
138	307	1903
139	308	1894
140	309	1886
141	311	1879
142	312	1871
143	313	1862
144	314	1853
145	315	1844
146	316	1835
147	317	1826
148	318	1818
149	319	1811
150	320	1803
151	321	1796
152	323	1788
153	324	1780
154	325	1772
155	325	1763
156	326	1755
