iter	Passed	Remaining
0	159	159480
1	163	81746
2	168	55976
3	172	42989
4	176	35116
5	180	29913
6	185	26287
7	189	23455
8	192	21247
9	197	19519
10	201	18088
11	204	16874
12	209	15882
13	214	15080
14	217	14310
15	223	13724
16	227	13157
17	231	12619
18	235	12159
19	240	11788
20	245	11450
21	249	11098
22	254	10815
23	258	10520
24	262	10232
25	265	9960
26	271	9801
27	275	9575
28	279	9359
29	284	9191
30	286	8969
31	289	8753
32	291	8534
33	293	8325
34	294	8131
35	298	7992
36	300	7814
37	301	7643
38	303	7481
39	304	7318
40	306	7168
41	307	7021
42	309	6881
43	311	6757
44	312	6634
45	314	6513
46	315	6396
47	317	6287
48	318	6179
49	319	6076
50	321	5976
51	322	5879
52	323	5787
53	325	5705
54	327	5624
55	328	5543
56	330	5464
57	331	5387
58	333	5311
59	334	5238
60	335	5167
61	337	5098
62	338	5031
63	340	4977
64	341	4918
65	343	4860
66	344	4802
67	346	4744
68	347	4687
69	348	4632
70	350	4580
71	351	4528
72	352	4477
73	353	4429
74	355	4388
75	357	4344
76	358	4299
77	360	4258
78	361	4216
79	363	4174
80	364	4135
81	365	4096
82	366	4050
83	367	4012
84	369	3982
85	371	3950
86	373	3915
87	374	3880
88	376	3849
89	377	3815
90	378	3782
91	380	3750
92	381	3719
93	382	3688
94	384	3659
95	386	3637
96	387	3610
97	389	3581
98	390	3553
99	391	3526
100	393	3500
101	394	3473
102	395	3447
103	397	3422
104	398	3398
105	400	3377
106	402	3356
107	403	3333
108	404	3310
109	406	3286
110	407	3264
111	408	3241
112	410	3220
113	411	3198
114	412	3177
115	414	3159
116	416	3139
117	417	3120
118	418	3100
119	420	3082
120	421	3063
121	422	3042
122	424	3024
123	425	3006
124	426	2988
125	428	2971
126	429	2953
127	431	2938
128	432	2922
129	434	2905
130	435	2888
131	436	2872
132	438	2855
133	439	2839
134	440	2823
135	442	2808
136	443	2792
137	445	2779
138	446	2767
139	448	2752
140	449	2738
141	450	2721
142	451	2708
143	453	2698
144	455	2685
145	457	2673
146	459	2664
147	461	2655
148	462	2643
149	464	2630
150	465	2619
151	467	2608
152	469	2596
153	470	2586
154	472	2575
155	474	2566
156	476	2556
157	477	2545
158	479	2533
159	480	2523
160	481	2508
161	482	2497
162	484	2485
163	485	2474
164	486	2463
165	488	2453
166	489	2443
167	491	2432
168	492	2421
169	493	2411
170	495	2400
171	496	2390
172	498	2380
173	499	2371
174	501	2362
175	502	2352
176	504	2343
177	505	2334
178	507	2326
179	508	2316
180	510	2308
181	511	2299
182	513	2290
183	514	2281
184	515	2272
185	517	2263
186	518	2255
187	520	2247
188	521	2239
189	523	2231
190	524	2223
191	526	2214
192	527	2206
193	529	2198
194	530	2189
195	531	2181
196	533	2172
197	534	2165
198	536	2158
199	537	2149
200	538	2141
201	540	2134
202	541	2126
203	542	2118
204	544	2110
205	545	2102
206	546	2094
207	548	2087
208	549	2080
209	551	2073
210	552	2066
211	553	2058
212	555	2051
213	556	2044
214	557	2037
215	559	2030
216	560	2023
217	561	2015
218	563	2008
219	564	2002
220	566	1996
221	567	1989
222	568	1982
223	570	1975
224	571	1968
225	572	1961
226	574	1955
227	575	1948
228	576	1942
229	578	1936
230	579	1930
231	581	1925
232	582	1918
233	584	1912
234	585	1905
235	586	1899
236	587	1892
237	589	1886
238	590	1879
239	591	1874
240	593	1868
241	595	1864
242	596	1859
243	598	1853
244	599	1847
245	600	1841
246	602	1836
247	603	1830
248	604	1824
249	606	1819
250	607	1813
251	609	1809
252	611	1805
253	612	1800
254	614	1795
255	615	1789
256	617	1783
257	618	1778
258	619	1773
259	621	1767
260	622	1762
261	623	1757
262	625	1753
263	627	1748
264	628	1742
265	629	1737
266	630	1731
267	632	1726
268	633	1720
269	634	1715
270	636	1710
271	637	1706
272	638	1701
273	640	1697
274	642	1692
275	643	1687
276	644	1682
277	646	1677
278	647	1672
